management_label,scen_label,value,outcome,driver,relative_yield_pct
Mineral fertiliser | Residue Removed,Tmp +1degC,4.512262457828564,Δ Actual evapotranspiration,Temperature,117.57031453065088
Mineral fertiliser | Residue Removed,Tmp +2degC,11.531597636057151,Δ Actual evapotranspiration,Temperature,127.20944216509733
Mineral fertiliser | Residue Removed,Tmp +3degC,16.83835881784823,Δ Actual evapotranspiration,Temperature,128.46458151424244
Mineral fertiliser | Residue Removed,Tmp -2degC,-19.857621323093802,Δ Actual evapotranspiration,Temperature,71.24786173052102
Mineral fertiliser | Residue Removed,Tmp -3degC,-28.369855200800757,Δ Actual evapotranspiration,Temperature,52.40980094546659
Mineral fertiliser | Residue Removed,Tmp 0degC,-3.8030379523000017,Δ Actual evapotranspiration,Temperature,101.48976332465726
Mineral fertiliser | Residue Removed,Wind -20%,-3.5857468793888625,Δ Actual evapotranspiration,Wind,101.90215800144868
Mineral fertiliser | Residue Removed,Wind -30%,-4.397481556364909,Δ Actual evapotranspiration,Wind,102.06802670193524
Mineral fertiliser | Residue Removed,Wind -40%,-5.246972178741759,Δ Actual evapotranspiration,Wind,102.00136291163177
Mineral fertiliser | Residue Removed,Wind -50%,-6.1279506062137985,Δ Actual evapotranspiration,Wind,101.99905227227954
Mineral fertiliser | Residue Removed,Wind -60%,-7.013519811239757,Δ Actual evapotranspiration,Wind,102.10488545817613
Mineral fertiliser | Residue Removed,Wind -70%,-7.923999190433661,Δ Actual evapotranspiration,Wind,102.15760674439656
Mineral fertiliser | Residue Removed,Wind 0%,-2.1836225434038536,Δ Actual evapotranspiration,Wind,100.47894764479356
Mineral fertiliser | Residue Retained,Rad -10%,-18.41009202158204,Δ Actual evapotranspiration,Radiation,65.19766664994854
Mineral fertiliser | Residue Retained,Rad -20%,-24.34739675892902,Δ Actual evapotranspiration,Radiation,52.548244410516
Mineral fertiliser | Residue Retained,Rad -30%,-30.8114156273517,Δ Actual evapotranspiration,Radiation,39.2689418583933
Mineral fertiliser | Residue Retained,Rad -5%,-15.56742972182692,Δ Actual evapotranspiration,Radiation,70.62900761951188
Mineral fertiliser | Residue Retained,Rad 0%,-12.235234747973564,Δ Actual evapotranspiration,Radiation,76.3837266907792
Mineral fertiliser | Residue Retained,Tmp +0.5degC,-0.2332817833262252,Δ Actual evapotranspiration,Temperature,100.63244493629946
Mineral fertiliser | Residue Retained,Tmp +1degC,3.9191225305685533,Δ Actual evapotranspiration,Temperature,105.40939866383185
Mineral fertiliser | Residue Retained,Tmp +2degC,11.14852242425309,Δ Actual evapotranspiration,Temperature,109.28947017944404
Mineral fertiliser | Residue Retained,Tmp +3degC,16.45225277264633,Δ Actual evapotranspiration,Temperature,103.98470194244118
Mineral fertiliser | Residue Retained,Tmp -2degC,-20.057454008734055,Δ Actual evapotranspiration,Temperature,60.164223976591124
Mineral fertiliser | Residue Retained,Tmp -3degC,-28.84209563446378,Δ Actual evapotranspiration,Temperature,40.219330685605705
Mineral fertiliser | Residue Retained,Tmp 0degC,-4.267126033576491,Δ Actual evapotranspiration,Temperature,94.96465826864811
Mineral fertiliser | Residue Retained,Wind -20%,-3.693624108747006,Δ Actual evapotranspiration,Wind,99.12250936271442
Mineral fertiliser | Residue Retained,Wind -30%,-4.512071429847698,Δ Actual evapotranspiration,Wind,98.97154011345675
Mineral fertiliser | Residue Retained,Wind -40%,-5.362336050804657,Δ Actual evapotranspiration,Wind,98.75624049608722
Mineral fertiliser | Residue Retained,Wind -50%,-6.237619435834674,Δ Actual evapotranspiration,Wind,98.58783142280076
Mineral fertiliser | Residue Retained,Wind -60%,-7.134266109967736,Δ Actual evapotranspiration,Wind,98.39216646440727
Mineral fertiliser | Residue Retained,Wind -70%,-8.042153512499992,Δ Actual evapotranspiration,Wind,98.18701928205064
Mineral fertiliser | Residue Retained,Wind 0%,-2.178423066576611,Δ Actual evapotranspiration,Wind,99.4162922411067
